0,휴식플래그
1,SYS_EVENT기동플래그
2,니삭스착용
3,연회의유무
4,난이도
5,게임모드
6,정경텍스트설정
7,구상텍스트설정
;텍스트를 표시하지 않는 설정시		FLAG:6=0 FLAG:7=-1
;정경 텍스트만 설정시		FLAG:6=1 FLAG:7=-1
;말텍스트+정경텍스트설정시	FLAG:6=1 FLAG:7= 2
9,일일이벤트
10,함락인원수
11,주회수
12,오늘의누계호감도상승량

;;13은 KR판 오리지날
13,엔딩여부

15,더부살이캐릭터
;신사의 더부살이이벤트로 온 캐릭터의 등록 번호를 기록
;대상 캐릭터는 CFLAG:신사거주가 끊는,초기위치는 16의 고물 오두막

;16,빈방캐릭터, 더부살이캐릭터와 통합, 만약 더부살이캐릭터의 2번째를 사용하게 된다면 이것을 사용해 주세요
17,바람기인원수
;현재 상태로서는 FLAG:17은@EVENTTURNEND로 리셋 되므로 사용하고 싶은 경우는 수정해 주세요
18,경고장사용
19,처녀식
20,요리
;21,요리옵션
;(bit=0:메뉴 수동 결정,1:이물 혼입 불가,2:약물 혼입 불가,10:자동 맛내기_보통,11:자동 맛내기_진한,12:자동 맛내기_얇다)

;22,23은 KR판 오리지날 또는 구잔재
22,호감신뢰상승률
23,의뢰호감신뢰상승률

;연회 관계---------
30,연회개최플래그,;(0=연회 이루어 1=레이무의 변덕 술잔치)
31,연회규모,;(일량으로서 설정된다)
32,연회회장
33,개시시간
34,개시일
35,참가인수
36,악천후중지플래그;(0=없음 1=중지 있어)
37,연회차입
;-----------------

41,의뢰슬롯1
42,의뢰슬롯2
43,의뢰슬롯3
44,의뢰슬롯4
45,의뢰슬롯5

50,추가연인수

;FLAG:50~59 각 방문자의 방문 플래그였지만 CFLAG:거점내방으로 이행해
;FLAG:50:bit 표기:0마리사,1,2대,3⑨,4사쿠야,5 레밀리아,6 앨리스,7 흰 백합,8 패모속의 백합,9-10-11프리즘리바즈,12요우무,13-14-15야쿠모가,16 리글,17―,18아야야,19에이키 님,20-21-22산신님 서,23 텐시,24이쿠 씨,25-26-27지령조,28 나즈,29단지들 -응,30네,31은 세우지 않아,32카센,33 엘렌,34 리카코,35메이라,
